grade_score,attendance,assignment_submission,risk_level
98,98,97,Low
98,95,94,Low
95,92,96,Low
95,90,91,Low
90,88,90,Low
90,85,87,Low
85,92,88,Low
85,86,82,Low
80,84,85,Low
80,80,78,Low
75,82,80,Medium
75,78,74,Medium
75,72,70,Medium
70,78,75,Medium
70,74,68,Medium
70,70,65,Medium
65,75,70,Medium
65,70,62,Medium
65,65,60,Medium
60,72,65,Medium
60,68,58,Medium
60,64,55,Medium
55,68,60,Medium
55,62,55,Medium
55,58,52,High
50,60,50,High
50,55,48,High
50,50,45,High
45,58,42,High
45,52,40,High
45,48,38,High
40,55,45,High
40,50,40,High
40,45,35,High
40,40,30,High
35,48,35,High
35,42,30,High
35,38,25,High
40,62,42,High
50,65,45,Medium
60,75,72,Medium
65,80,75,Medium
70,82,78,Medium
75,85,82,Low
80,88,86,Low
85,90,92,Low
90,94,95,Low
95,96,97,Low
98,99,99,Low
